,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,82177.0,82177.0,136163.0,79891.0,91345.0,80077.0,134254.0,104295.0,102540.0,193403.0,219811.0,219811.0,42888.0,116660.0,102540.0,116660.0,102540.0,102540.0,102540.0,82177.0,102540.0,116660.0,119292.0,119292.0,42888.0,193403.0,237351.0,116660.0,119292.0,237351.0,119292.0,359729.0,80077.0,92219.0,116660.0,193403.0,50556.0,237351.0,82177.0,82177.0,119292.0,50556.0,273093.0,230081.0,934785.0,354438.0,934785.0,934785.0,934785.0,368126.0,380579.0,380579.0,209339.0,354438.0,354438.0,368126.0,354438.0,209339.0,402018.0,934785.0,922046.0,249967.0,922046.0,934785.0,922046.0,922046.0,922046.0,922046.0,354438.0,354438.0,255988.0,255988.0,255988.0,354438.0,209339.0,199701.0,922046.0,922046.0,255988.0,354438.0,922046.0,152139.0,159878.0,94598.0,159878.0,255988.0,354438.0,354438.0,922046.0,255988.0,255988.0,152139.0,152139.0,255988.0,159878.0,159878.0,354438.0,255988.0,159878.0,152139.0,255988.0,922046.0,185558.0,174671.0,210943.0,101756.0,155600.0,174671.0,210943.0,185558.0,99234.0,380579.0,255988.0,922046.0,922046.0,402018.0,143205.0,143205.0,94598.0,159878.0,159878.0,402018.0,922046.0,354438.0,255988.0,94598.0,94598.0,402018.0,434013.0,94598.0,99234.0,94598.0,922046.0,148702.0,185558.0,174671.0,174671.0,174671.0,128972.0,101756.0,174671.0,199701.0,922046.0,922046.0,255988.0,152139.0,94598.0,143205.0,116660.0,82177.0,116660.0,121176.0,102540.0,82177.0,63604.0,60439.0,63604.0,63604.0,60439.0,77278.0,27476.0,9277.0,9277.0,27476.0,29382.0,6574.0,119426.0,8990.0,7231.0,6574.0,119426.0,9277.0,82177.0,159878.0,99234.0,121176.0,255988.0,255988.0,255988.0,249967.0,249967.0,249967.0,248190.0,248190.0,248190.0,248190.0,249967.0,249967.0,255988.0,255988.0,255988.0,255988.0,249967.0,255988.0,249967.0,248190.0,300773.0,79421.0,110841.0,104295.0,102517.0,102517.0,79891.0,78467.0,78467.0,134254.0,73642.0,73642.0,78936.0,91345.0,81484.0,142402.0,97079.0,59150.0,71591.0,71591.0,98832.0,71591.0,115294.0,71591.0,71591.0,37552.0,98832.0,71591.0,71591.0,41820.0,84016.0,67122.0,43317.0,84016.0,41971.0,47454.0,99522.0,61490.0,9752.0,9752.0,61490.0,33185.0,60577.0,91086.0,47454.0,57692.0,79286.0,159878.0,79286.0,9277.0,79421.0,143205.0,133159.0,79421.0,102540.0,159878.0,102540.0,133159.0,174757.0,255988.0
1,116660.0,82177.0,136163.0,79891.0,91345.0,80077.0,134254.0,104295.0,116660.0,42888.0,50556.0,50556.0,42888.0,237351.0,116660.0,102540.0,237351.0,237351.0,237351.0,102540.0,116660.0,237351.0,42888.0,119292.0,193403.0,42888.0,119292.0,102540.0,116660.0,237351.0,237351.0,272630.0,42888.0,79891.0,237351.0,42888.0,50556.0,237351.0,136163.0,82177.0,119292.0,193403.0,273093.0,233432.0,934785.0,922046.0,934785.0,934785.0,934785.0,368126.0,380579.0,380579.0,402018.0,368126.0,354438.0,354438.0,209339.0,199701.0,402018.0,354438.0,922046.0,922046.0,922046.0,934785.0,922046.0,255988.0,255988.0,922046.0,354438.0,255988.0,922046.0,255988.0,152139.0,209339.0,148702.0,199701.0,209339.0,255988.0,255988.0,354438.0,255988.0,152139.0,152139.0,94598.0,255988.0,152139.0,354438.0,354438.0,255988.0,152139.0,255988.0,152139.0,152139.0,152139.0,152139.0,159878.0,922046.0,922046.0,255988.0,922046.0,255988.0,354438.0,185558.0,101756.0,210943.0,128972.0,155600.0,185558.0,128972.0,174671.0,99234.0,698254.0,255988.0,922046.0,922046.0,402018.0,143205.0,143205.0,94598.0,159878.0,159878.0,402018.0,922046.0,354438.0,255988.0,94598.0,94598.0,255988.0,434013.0,94598.0,99234.0,94598.0,922046.0,148702.0,101756.0,101756.0,174671.0,174671.0,101756.0,101756.0,185558.0,199701.0,922046.0,922046.0,255988.0,152139.0,94598.0,143205.0,116660.0,82177.0,116660.0,121176.0,102540.0,82177.0,60439.0,60439.0,60439.0,63604.0,60439.0,77278.0,12538.0,29382.0,12538.0,27476.0,9277.0,6574.0,6574.0,7231.0,6574.0,9681.0,7231.0,29382.0,77278.0,99234.0,143205.0,102540.0,255988.0,255988.0,255988.0,249967.0,249967.0,249967.0,248190.0,248190.0,248190.0,249967.0,249967.0,249967.0,255988.0,255988.0,255988.0,922046.0,249967.0,255988.0,255988.0,248190.0,230081.0,189060.0,116660.0,110841.0,102517.0,102517.0,79891.0,78467.0,78467.0,134254.0,73642.0,91345.0,78936.0,91345.0,81484.0,105493.0,97079.0,97155.0,71591.0,115294.0,98832.0,71591.0,71591.0,115294.0,71591.0,71591.0,98832.0,71591.0,71591.0,41820.0,84016.0,41971.0,43317.0,84016.0,41971.0,31175.0,99522.0,9752.0,9752.0,9752.0,21793.0,33185.0,60577.0,91086.0,67122.0,99815.0,79421.0,152139.0,79421.0,12538.0,133159.0,143205.0,233432.0,79421.0,102540.0,887088.0,102540.0,133159.0,174757.0,152139.0
2,237351.0,116660.0,136163.0,79891.0,134254.0,73642.0,73642.0,79891.0,102540.0,119292.0,193403.0,193403.0,193403.0,119292.0,237351.0,102540.0,237351.0,237351.0,237351.0,116660.0,116660.0,237351.0,119292.0,237351.0,119292.0,237351.0,119292.0,82177.0,116660.0,237351.0,237351.0,119292.0,219811.0,102517.0,82177.0,42888.0,219811.0,237351.0,82177.0,102540.0,193403.0,219811.0,272630.0,79421.0,311238.0,934785.0,922046.0,934785.0,934785.0,368126.0,380579.0,380579.0,402018.0,368126.0,354438.0,368126.0,209339.0,380579.0,402018.0,354438.0,922046.0,922046.0,922046.0,354438.0,354438.0,922046.0,255988.0,255988.0,255988.0,922046.0,922046.0,152139.0,255988.0,354438.0,209339.0,209339.0,354438.0,922046.0,354438.0,255988.0,922046.0,255988.0,159878.0,159878.0,255988.0,255988.0,354438.0,922046.0,255988.0,152139.0,152139.0,152139.0,152139.0,152139.0,152139.0,152139.0,354438.0,922046.0,255988.0,255988.0,922046.0,922046.0,185558.0,128972.0,210943.0,128972.0,155600.0,101756.0,210943.0,174671.0,152139.0,296071.0,152139.0,922046.0,922046.0,402018.0,402018.0,1139559.0,1139559.0,159878.0,159878.0,402018.0,354438.0,354438.0,152139.0,94598.0,94598.0,255988.0,227970.0,94598.0,99234.0,159878.0,255988.0,148702.0,101756.0,174671.0,101756.0,174671.0,101756.0,101756.0,185558.0,199701.0,354438.0,922046.0,255988.0,152139.0,94598.0,143205.0,121176.0,82177.0,116660.0,121176.0,102540.0,82177.0,60439.0,77278.0,60439.0,63604.0,60439.0,27476.0,29382.0,12538.0,29382.0,27476.0,12538.0,8990.0,7231.0,7231.0,7231.0,11255.0,8990.0,29382.0,63604.0,121176.0,143205.0,102540.0,255988.0,255988.0,255988.0,255988.0,249967.0,249967.0,249967.0,249967.0,249967.0,249967.0,249967.0,255988.0,255988.0,922046.0,922046.0,922046.0,248190.0,255988.0,922046.0,248190.0,887088.0,95160.0,110841.0,92962.0,102517.0,102517.0,79891.0,78467.0,78467.0,78467.0,73642.0,91345.0,73642.0,107312.0,81484.0,104042.0,62719.0,115294.0,71591.0,71591.0,98832.0,71591.0,71591.0,71591.0,71591.0,37552.0,98832.0,71591.0,71591.0,41820.0,84016.0,41971.0,43317.0,84016.0,67376.0,60068.0,99522.0,9752.0,76974.0,61490.0,61287.0,33185.0,91086.0,80029.0,115294.0,91345.0,133159.0,152139.0,133159.0,29382.0,233432.0,121797.0,361303.0,133159.0,102540.0,887088.0,102540.0,133159.0,174757.0,152139.0
3,119292.0,116660.0,136163.0,104295.0,79891.0,134254.0,73642.0,92219.0,82177.0,119292.0,42888.0,42888.0,193403.0,193403.0,119292.0,102540.0,237351.0,237351.0,116660.0,116660.0,116660.0,237351.0,237351.0,237351.0,119292.0,119292.0,119292.0,116660.0,116660.0,102540.0,102540.0,116660.0,268627.0,119292.0,104295.0,102540.0,193403.0,119292.0,102540.0,102540.0,42888.0,193403.0,193403.0,272630.0,121797.0,922046.0,922046.0,922046.0,922046.0,354438.0,209339.0,380579.0,402018.0,368126.0,368126.0,368126.0,209339.0,380579.0,354438.0,354438.0,922046.0,922046.0,934785.0,934785.0,354438.0,922046.0,255988.0,922046.0,922046.0,922046.0,922046.0,255988.0,255988.0,354438.0,199701.0,199701.0,922046.0,255988.0,255988.0,255988.0,922046.0,255988.0,94598.0,152139.0,152139.0,255988.0,354438.0,209339.0,255988.0,152139.0,152139.0,152139.0,152139.0,922046.0,152139.0,152139.0,354438.0,922046.0,255988.0,922046.0,354438.0,354438.0,155600.0,101756.0,129679.0,101756.0,185558.0,101756.0,129679.0,174671.0,922046.0,87733.0,152139.0,922046.0,922046.0,222143.0,402018.0,143205.0,159878.0,152139.0,402018.0,402018.0,922046.0,922046.0,152139.0,94598.0,94598.0,152139.0,434013.0,94598.0,99234.0,159878.0,255988.0,148702.0,101756.0,174671.0,174671.0,174671.0,128972.0,210943.0,185558.0,155600.0,209339.0,354438.0,255988.0,152139.0,94598.0,143205.0,121176.0,82177.0,116660.0,121176.0,102540.0,82177.0,60439.0,60439.0,60439.0,63604.0,60439.0,27476.0,12538.0,12538.0,12538.0,77278.0,12538.0,6574.0,8990.0,7231.0,7231.0,8990.0,119426.0,12538.0,82177.0,94598.0,143205.0,116660.0,255988.0,255988.0,255988.0,255988.0,249967.0,249967.0,249967.0,249967.0,249967.0,249967.0,255988.0,255988.0,255988.0,922046.0,922046.0,922046.0,321026.0,255988.0,922046.0,248190.0,11255.0,42888.0,110841.0,104295.0,102517.0,79891.0,134254.0,73642.0,78467.0,78467.0,78936.0,91345.0,73642.0,63818.0,101226.0,95928.0,62719.0,115294.0,115294.0,71591.0,98832.0,71591.0,115294.0,71591.0,71591.0,98832.0,98832.0,71591.0,98832.0,41820.0,65904.0,43317.0,84016.0,43317.0,67376.0,60068.0,60577.0,9752.0,9752.0,61490.0,61287.0,33185.0,91086.0,70955.0,95928.0,136163.0,233432.0,152139.0,133159.0,79286.0,102540.0,359729.0,102540.0,133159.0,361303.0,887088.0,102540.0,133159.0,233432.0,887088.0
4,42888.0,116660.0,102540.0,136163.0,104295.0,134254.0,73642.0,134254.0,104295.0,102540.0,42888.0,193403.0,193403.0,193403.0,119292.0,116660.0,119292.0,237351.0,237351.0,237351.0,116660.0,116660.0,237351.0,116660.0,42888.0,119292.0,237351.0,237351.0,116660.0,102540.0,116660.0,102540.0,82177.0,273093.0,136163.0,102540.0,116660.0,116660.0,116660.0,119292.0,119292.0,119292.0,193403.0,163720.0,79286.0,309985.0,922046.0,249967.0,934785.0,354438.0,209339.0,380579.0,402018.0,368126.0,368126.0,255988.0,354438.0,199701.0,354438.0,354438.0,354438.0,922046.0,934785.0,354438.0,354438.0,354438.0,354438.0,354438.0,255988.0,922046.0,922046.0,922046.0,922046.0,922046.0,209339.0,354438.0,922046.0,255988.0,255988.0,152139.0,354438.0,922046.0,255988.0,152139.0,152139.0,152139.0,922046.0,922046.0,255988.0,152139.0,159878.0,152139.0,255988.0,255988.0,255988.0,255988.0,922046.0,922046.0,922046.0,354438.0,354438.0,354438.0,155600.0,101756.0,129679.0,101756.0,174671.0,101756.0,210943.0,128972.0,922046.0,121176.0,152139.0,255988.0,922046.0,402018.0,402018.0,380579.0,152139.0,152139.0,402018.0,152139.0,922046.0,922046.0,152139.0,434013.0,434013.0,159878.0,143205.0,94598.0,99234.0,94598.0,922046.0,148702.0,174671.0,174671.0,174671.0,174671.0,128972.0,128972.0,185558.0,155600.0,209339.0,354438.0,255988.0,152139.0,94598.0,143205.0,121176.0,82177.0,116660.0,121176.0,102540.0,82177.0,63604.0,60439.0,60439.0,63604.0,60439.0,27476.0,29382.0,7231.0,12538.0,27476.0,9277.0,6574.0,119426.0,6574.0,9277.0,6574.0,119426.0,9277.0,77278.0,99234.0,102540.0,60439.0,255988.0,255988.0,255988.0,249967.0,249967.0,249967.0,249967.0,249967.0,249967.0,249967.0,255988.0,255988.0,922046.0,922046.0,922046.0,922046.0,893190.0,922046.0,934785.0,248190.0,79286.0,237351.0,110841.0,92962.0,104295.0,79891.0,78467.0,73642.0,78467.0,78467.0,73642.0,73642.0,107312.0,99815.0,108692.0,97303.0,82846.0,115294.0,115294.0,71591.0,98832.0,71591.0,71591.0,115294.0,37552.0,71591.0,98832.0,71591.0,65904.0,65904.0,65904.0,84016.0,43317.0,67376.0,52275.0,70955.0,61490.0,9752.0,9752.0,61287.0,33185.0,60577.0,80029.0,60068.0,106430.0,42888.0,121797.0,159878.0,133159.0,79421.0,121797.0,309985.0,102540.0,133159.0,361303.0,143205.0,174757.0,133159.0,133159.0,143205.0
5,42888.0,237351.0,237351.0,102540.0,104295.0,79891.0,134254.0,134254.0,92219.0,136163.0,237351.0,42888.0,219811.0,193403.0,119292.0,119292.0,237351.0,119292.0,237351.0,116660.0,116660.0,237351.0,237351.0,237351.0,119292.0,237351.0,119292.0,119292.0,116660.0,116660.0,116660.0,82177.0,116660.0,163720.0,268627.0,82177.0,136163.0,237351.0,193403.0,119292.0,116660.0,82177.0,237351.0,50556.0,272630.0,233432.0,249967.0,248190.0,934785.0,354438.0,209339.0,199701.0,402018.0,368126.0,368126.0,255988.0,922046.0,209339.0,354438.0,354438.0,922046.0,922046.0,934785.0,368126.0,922046.0,354438.0,354438.0,354438.0,922046.0,922046.0,255988.0,152139.0,255988.0,922046.0,209339.0,209339.0,354438.0,922046.0,255988.0,152139.0,922046.0,255988.0,159878.0,159878.0,255988.0,255988.0,354438.0,922046.0,152139.0,152139.0,152139.0,152139.0,255988.0,255988.0,255988.0,922046.0,354438.0,922046.0,354438.0,354438.0,354438.0,922046.0,199701.0,101756.0,210943.0,128972.0,101756.0,101756.0,128972.0,101756.0,209339.0,102540.0,159878.0,922046.0,354438.0,222143.0,402018.0,380579.0,152139.0,152139.0,402018.0,152139.0,255988.0,922046.0,152139.0,434013.0,434013.0,159878.0,94598.0,94598.0,99234.0,94598.0,354438.0,148702.0,174671.0,101756.0,174671.0,174671.0,128972.0,128972.0,185558.0,148702.0,354438.0,354438.0,255988.0,152139.0,94598.0,143205.0,121176.0,82177.0,116660.0,121176.0,102540.0,82177.0,63604.0,60439.0,60439.0,63604.0,60439.0,27476.0,29382.0,12538.0,12538.0,77278.0,9277.0,8990.0,8990.0,9277.0,12538.0,119426.0,6574.0,12538.0,82177.0,99234.0,102540.0,60439.0,249967.0,249967.0,249967.0,249967.0,249967.0,249967.0,249967.0,249967.0,249967.0,249967.0,255988.0,255988.0,922046.0,922046.0,922046.0,255988.0,893190.0,922046.0,354438.0,893190.0,42888.0,82177.0,102517.0,92962.0,110841.0,79891.0,73642.0,73642.0,78467.0,78936.0,73642.0,73642.0,63818.0,81484.0,105493.0,97079.0,82846.0,71591.0,71591.0,98832.0,71591.0,71591.0,71591.0,115294.0,71591.0,37552.0,98832.0,71591.0,84016.0,65904.0,71591.0,65904.0,43317.0,52275.0,47454.0,70955.0,61490.0,9752.0,76974.0,61287.0,33185.0,91086.0,70955.0,47454.0,95160.0,8990.0,121797.0,121797.0,79421.0,79421.0,143205.0,230081.0,102540.0,133159.0,361303.0,102540.0,174757.0,133159.0,133159.0,233432.0
6,42888.0,42888.0,237351.0,102540.0,136163.0,79891.0,92219.0,73642.0,134254.0,79891.0,102540.0,42888.0,193403.0,50556.0,193403.0,42888.0,119292.0,119292.0,237351.0,237351.0,237351.0,237351.0,237351.0,119292.0,42888.0,119292.0,42888.0,193403.0,116660.0,102540.0,102540.0,82177.0,136163.0,102540.0,272630.0,82177.0,104295.0,116660.0,42888.0,42888.0,102540.0,116660.0,116660.0,42888.0,163720.0,79286.0,248190.0,248190.0,934785.0,354438.0,354438.0,354438.0,354438.0,368126.0,368126.0,354438.0,922046.0,922046.0,209339.0,368126.0,922046.0,922046.0,354438.0,368126.0,354438.0,354438.0,354438.0,922046.0,922046.0,922046.0,255988.0,152139.0,922046.0,354438.0,199701.0,199701.0,354438.0,922046.0,255988.0,94598.0,354438.0,255988.0,255988.0,159878.0,255988.0,255988.0,922046.0,354438.0,255988.0,94598.0,159878.0,152139.0,255988.0,255988.0,922046.0,922046.0,255988.0,255988.0,354438.0,922046.0,354438.0,255988.0,354438.0,174671.0,128972.0,128972.0,128972.0,128972.0,128972.0,174671.0,209339.0,159878.0,94598.0,152139.0,354438.0,255988.0,402018.0,380579.0,152139.0,255988.0,402018.0,402018.0,255988.0,255988.0,159878.0,698254.0,143205.0,94598.0,94598.0,94598.0,99234.0,94598.0,354438.0,148702.0,101756.0,101756.0,101756.0,174671.0,128972.0,128972.0,185558.0,148702.0,209339.0,922046.0,255988.0,152139.0,94598.0,143205.0,121176.0,82177.0,116660.0,121176.0,102540.0,82177.0,63604.0,60439.0,63604.0,63604.0,60439.0,27476.0,9277.0,12538.0,29382.0,29382.0,7231.0,8990.0,7231.0,12538.0,9277.0,9681.0,6574.0,12538.0,63604.0,102540.0,116660.0,60439.0,249967.0,249967.0,249967.0,248190.0,248190.0,248190.0,248190.0,249967.0,249967.0,249967.0,249967.0,255988.0,255988.0,255988.0,922046.0,922046.0,893190.0,922046.0,368126.0,7231.0,50556.0,102517.0,79891.0,110841.0,92962.0,79891.0,73642.0,73642.0,78467.0,78467.0,106430.0,91345.0,81484.0,92719.0,77513.0,62719.0,97155.0,115294.0,98832.0,71591.0,71591.0,71591.0,115294.0,71591.0,71591.0,98832.0,71591.0,98832.0,41971.0,65904.0,71591.0,65904.0,41971.0,52275.0,31175.0,91086.0,61490.0,76974.0,76974.0,61287.0,119972.0,91086.0,60068.0,43317.0,119426.0,79286.0,121797.0,102540.0,79421.0,79421.0,143205.0,230081.0,121797.0,361303.0,361303.0,102540.0,174757.0,233432.0,133159.0,361303.0
7,193403.0,193403.0,119292.0,102540.0,104295.0,92219.0,79891.0,73642.0,73642.0,134254.0,136163.0,119292.0,193403.0,50556.0,193403.0,42888.0,42888.0,42888.0,116660.0,237351.0,116660.0,237351.0,237351.0,119292.0,42888.0,119292.0,42888.0,42888.0,119292.0,116660.0,102540.0,82177.0,136163.0,116660.0,189060.0,104295.0,104295.0,237351.0,119292.0,119292.0,116660.0,136163.0,102540.0,119292.0,193403.0,273093.0,121797.0,248190.0,922046.0,354438.0,209339.0,402018.0,222143.0,354438.0,368126.0,209339.0,922046.0,922046.0,199701.0,368126.0,922046.0,922046.0,354438.0,368126.0,354438.0,354438.0,354438.0,354438.0,922046.0,922046.0,152139.0,922046.0,255988.0,354438.0,199701.0,209339.0,354438.0,922046.0,255988.0,159878.0,354438.0,255988.0,152139.0,152139.0,255988.0,922046.0,922046.0,922046.0,152139.0,159878.0,94598.0,159878.0,152139.0,255988.0,255988.0,922046.0,922046.0,255988.0,922046.0,255988.0,255988.0,152139.0,922046.0,174671.0,101756.0,129679.0,101756.0,174671.0,210943.0,101756.0,199701.0,152139.0,170658.0,255988.0,922046.0,255988.0,402018.0,159878.0,255988.0,255988.0,402018.0,152139.0,152139.0,255988.0,159878.0,434013.0,143205.0,94598.0,434013.0,94598.0,94598.0,159878.0,922046.0,148702.0,101756.0,101756.0,101756.0,174671.0,128972.0,128972.0,174671.0,148702.0,209339.0,922046.0,255988.0,255988.0,94598.0,143205.0,121176.0,82177.0,121176.0,121176.0,102540.0,116660.0,63604.0,60439.0,63604.0,63604.0,60439.0,27476.0,9277.0,12538.0,27476.0,29382.0,7231.0,8990.0,8990.0,29382.0,9277.0,9277.0,8990.0,29382.0,116660.0,143205.0,121176.0,77278.0,248190.0,248190.0,248190.0,248190.0,248190.0,248190.0,248190.0,248190.0,248190.0,249967.0,249967.0,249967.0,255988.0,255988.0,255988.0,255988.0,311238.0,922046.0,934785.0,230081.0,50556.0,102517.0,79891.0,110841.0,92962.0,79891.0,73642.0,78467.0,78467.0,78467.0,73642.0,91345.0,92719.0,92719.0,97303.0,82846.0,115294.0,71591.0,76295.0,71591.0,71591.0,71591.0,71591.0,115294.0,37552.0,98832.0,98832.0,98832.0,84016.0,65904.0,98832.0,65904.0,41971.0,52275.0,60068.0,60577.0,9752.0,76974.0,9752.0,33185.0,60577.0,99522.0,31175.0,76295.0,189060.0,133159.0,174757.0,133159.0,273093.0,79421.0,121797.0,143205.0,121797.0,361303.0,361303.0,174757.0,174757.0,361303.0,133159.0,133159.0
8,50556.0,50556.0,42888.0,116660.0,104295.0,102517.0,102517.0,73642.0,80077.0,73642.0,104295.0,237351.0,42888.0,42888.0,193403.0,50556.0,42888.0,119292.0,237351.0,237351.0,237351.0,116660.0,237351.0,237351.0,42888.0,193403.0,119292.0,193403.0,42888.0,237351.0,116660.0,82177.0,102540.0,82177.0,102540.0,121797.0,82177.0,116660.0,193403.0,237351.0,102540.0,136163.0,102540.0,237351.0,42888.0,219811.0,174757.0,311238.0,922046.0,934785.0,368126.0,222143.0,222143.0,354438.0,368126.0,402018.0,354438.0,354438.0,380579.0,368126.0,922046.0,922046.0,354438.0,368126.0,354438.0,354438.0,354438.0,922046.0,922046.0,922046.0,922046.0,255988.0,922046.0,354438.0,209339.0,199701.0,199701.0,922046.0,922046.0,152139.0,354438.0,255988.0,255988.0,159878.0,255988.0,255988.0,922046.0,255988.0,152139.0,159878.0,159878.0,159878.0,152139.0,922046.0,922046.0,922046.0,152139.0,255988.0,922046.0,922046.0,152139.0,94598.0,255988.0,155600.0,101756.0,101756.0,101756.0,174671.0,128972.0,101756.0,199701.0,255988.0,99234.0,152139.0,922046.0,255988.0,222143.0,152139.0,255988.0,255988.0,402018.0,159878.0,152139.0,255988.0,159878.0,698254.0,143205.0,94598.0,698254.0,94598.0,94598.0,159878.0,354438.0,148702.0,101756.0,101756.0,101756.0,101756.0,128972.0,128972.0,185558.0,148702.0,354438.0,922046.0,255988.0,255988.0,94598.0,143205.0,121176.0,116660.0,121176.0,121176.0,102540.0,116660.0,63604.0,60439.0,63604.0,63604.0,60439.0,77278.0,12538.0,12538.0,12538.0,27476.0,9277.0,8990.0,85781.0,9277.0,29382.0,6574.0,119426.0,9277.0,77278.0,152139.0,121176.0,12538.0,893190.0,893190.0,321026.0,321026.0,321026.0,321026.0,893190.0,248190.0,248190.0,248190.0,248190.0,249967.0,249967.0,249967.0,249967.0,249967.0,893190.0,922046.0,922046.0,85781.0,116660.0,102517.0,79891.0,110841.0,92962.0,79891.0,78467.0,73642.0,134254.0,78467.0,73642.0,107312.0,57692.0,105493.0,97303.0,82846.0,115294.0,71591.0,98832.0,98832.0,71591.0,71591.0,71591.0,98832.0,37552.0,98832.0,98832.0,41820.0,84016.0,65904.0,41820.0,84016.0,67376.0,52275.0,60068.0,33185.0,76974.0,76974.0,61490.0,33185.0,119972.0,99522.0,43317.0,97155.0,143205.0,361303.0,361303.0,79286.0,189060.0,79286.0,102540.0,359729.0,102540.0,361303.0,233432.0,174757.0,102540.0,102540.0,233432.0,133159.0
9,189060.0,163720.0,193403.0,237351.0,136163.0,102517.0,102517.0,92219.0,80077.0,91345.0,92219.0,136163.0,119292.0,42888.0,42888.0,193403.0,42888.0,119292.0,237351.0,237351.0,237351.0,116660.0,116660.0,237351.0,119292.0,119292.0,119292.0,42888.0,42888.0,237351.0,237351.0,116660.0,116660.0,82177.0,104295.0,92219.0,42888.0,116660.0,119292.0,237351.0,102540.0,102540.0,237351.0,237351.0,42888.0,219811.0,189060.0,361303.0,922046.0,934785.0,368126.0,222143.0,222143.0,354438.0,368126.0,209339.0,209339.0,199701.0,380579.0,368126.0,922046.0,922046.0,354438.0,368126.0,368126.0,368126.0,354438.0,922046.0,922046.0,922046.0,922046.0,255988.0,922046.0,209339.0,199701.0,199701.0,209339.0,922046.0,922046.0,152139.0,354438.0,255988.0,152139.0,159878.0,255988.0,152139.0,922046.0,354438.0,255988.0,152139.0,159878.0,159878.0,152139.0,922046.0,255988.0,255988.0,159878.0,255988.0,255988.0,255988.0,152139.0,159878.0,152139.0,199701.0,185558.0,174671.0,101756.0,101756.0,101756.0,174671.0,199701.0,354438.0,99234.0,152139.0,922046.0,255988.0,402018.0,152139.0,255988.0,922046.0,402018.0,159878.0,152139.0,152139.0,159878.0,380579.0,698254.0,94598.0,1139559.0,94598.0,99234.0,94598.0,354438.0,155600.0,101756.0,101756.0,101756.0,101756.0,128972.0,128972.0,185558.0,148702.0,354438.0,922046.0,255988.0,255988.0,159878.0,143205.0,121176.0,82177.0,121176.0,121176.0,102540.0,116660.0,63604.0,60439.0,63604.0,63604.0,60439.0,27476.0,29382.0,12538.0,29382.0,27476.0,9277.0,8990.0,11255.0,9277.0,27476.0,8990.0,8990.0,9277.0,121176.0,152139.0,102540.0,12538.0,321026.0,893190.0,321026.0,893190.0,893190.0,321026.0,321026.0,321026.0,248190.0,248190.0,248190.0,248190.0,248190.0,248190.0,249967.0,249967.0,248190.0,255988.0,321026.0,79421.0,102540.0,110841.0,79891.0,136163.0,104295.0,92219.0,73642.0,73642.0,92219.0,78467.0,91345.0,107312.0,101226.0,105493.0,97079.0,97155.0,71591.0,115294.0,98832.0,98832.0,71591.0,71591.0,71591.0,98832.0,98832.0,98832.0,76295.0,76295.0,76295.0,84016.0,76295.0,41971.0,67376.0,47454.0,99522.0,9752.0,76974.0,61490.0,61287.0,60577.0,33185.0,70955.0,98832.0,104042.0,79421.0,133159.0,77278.0,27476.0,77278.0,79286.0,233432.0,887088.0,102540.0,361303.0,174757.0,174757.0,102540.0,102540.0,233432.0,361303.0
